"Timestamp","Din TBF","Jordnötens nummer","Betygsätt totalupplevelsen","Salt","Knaprig","Rostad","Flottig","Kommentar"
"2016-09-24 19:04:53 +0200","DDR","17","5","6","4","3","5",""
"2016-09-24 19:05:31 +0200","WWW","14","6","4","6","7","3",""
"2016-09-24 19:05:36 +0200","JPY","17","6","6","6","5","5",""
"2016-09-24 19:05:58 +0200","FTV","20","3","4","6","6","4","Konstig bismak"
"2016-09-24 19:06:01 +0200","PTP","1","4","1","6","2","1","Ärtigt"
"2016-09-24 19:06:43 +0200","PSI","8","1","3","5","4","6","Aggressiv."
"2016-09-24 19:07:16 +0200","WWW","13","3","4","4","3","5",""
"2016-09-24 19:07:22 +0200","PTP","20","3","4","4","3","6","Brunbeige"
"2016-09-24 19:07:44 +0200","PSI","9","3","1","4","6","2",""
"2016-09-24 19:08:08 +0200","NDF","7","2","3","3","3","2",""
"2016-09-24 19:08:38 +0200","JPY","8","5","5","4","3","3","Oj! Vinäger? Gott?"
"2016-09-24 19:08:50 +0200","NDF","19","5","5","4","5","5",""
"2016-09-24 19:09:19 +0200","PTP","19","3","6","4","5","4","Kvalmigt"
"2016-09-24 19:09:31 +0200","FTV","15","4","5","6","3","1",""
"2016-09-24 19:10:01 +0200","WWW","4","2","3","3","3","3",""
"2016-09-24 19:10:58 +0200","JPY","2","7","7","4","6","3","Mycket rik smak. Bra grejer!"
"2016-09-24 19:12:21 +0200","JPY","3","4","4","5","4","3",""
"2016-09-24 19:12:56 +0200","WWW","1","6","5","6","5","2",""
"2016-09-24 19:13:24 +0200","DAG","2","6","4","5","5","3",""
"2016-09-24 19:13:54 +0200","KTB","18","6","5","6","4","7","FRUKTIG!"
"2016-09-24 19:13:56 +0200","DAG","3","4","4","4","3","4",""
"2016-09-24 19:14:20 +0200","FTV","10","3","6","3","3","1","Inte god"
"2016-09-24 19:14:31 +0200","DAG","6","2","1","5","5","1",""
"2016-09-24 19:14:39 +0200","KTB","6","5","3","5","2","5","Mild mjuk"
"2016-09-24 19:14:47 +0200","PSI","10","1","5","2","3","4",""
"2016-09-24 19:15:01 +0200","IFK","7","2","3","5","2","1",""
"2016-09-24 19:15:16 +0200","DAG","7","2","2","5","5","2",""
"2016-09-24 19:15:21 +0200","FTV","3","7","5","6","6","4","Mycket god"
"2016-09-24 19:15:36 +0200","JPY","5","3","6","3","2","4","Bismak. Inte så bra."
"2016-09-24 19:15:58 +0200","DAG","8","5","3","5","5","3",""
"2016-09-24 19:16:00 +0200","SAS","1","4","1","2","1","1",""
"2016-09-24 19:16:02 +0200","PSI","11","5","5","4","4","6",""
"2016-09-24 19:16:23 +0200","WWW","18","5","5","6","5","5",""
"2016-09-24 19:16:27 +0200","ATG","6","3","2","5","2","5",""
"2016-09-24 19:16:37 +0200","DAG","10","7","5","4","5","3",""
"2016-09-24 19:16:42 +0200","FTV","8","7","5","5","5","6","Gott!"
"2016-09-24 19:16:55 +0200","OSV","15","2","4","5","5","2",""
"2016-09-24 19:17:19 +0200","DAG","6","6","5","5","5","6",""
"2016-09-24 19:17:25 +0200","IFK","19","3","2","5","3","1",""
"2016-09-24 19:17:29 +0200","WWW","6","2","2","4","2","3",""
"2016-09-24 19:17:35 +0200","PSI","12","3","2","6","4","3",""
"2016-09-24 19:17:35 +0200","JPY","16","6","7","5","6","4",""
"2016-09-24 19:17:39 +0200","ATG","18","6","7","4","4","5",""
